"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2023-05-17","Devocion","5.08","posted","Cafés","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-05-17","Other Merchant","36.84","posted","Other","Other","false","","regular","Primary CC","4832","","false"
"2023-05-17","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-17","Other Bar","46.06","posted","Bars","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-05-17","Chick-Fil-A","9.28","posted","Fast Food","Food & Drink","false","","regular","Debit","3456","","false"
"2023-05-17","T-Mobile","15","posted","Phone","Utilities","false","","regular","Primary CC","4832","","false"
"2023-05-17","Other Restaurant","15.42","posted","Restaurants","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-05-18","Other Fast Food","11.31","posted","Fast Food","Food & Drink","false","","regular","Debit","3456","","false"
"2023-05-18","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-18","Panera Bread","17.9","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-05-19","Lyft","11.83","posted","Uber","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-19","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-19","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Primary CC","4832","","false"
"2023-05-19","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-20","Conductor Inc Deposit","-776.6","posted","Side Income","Income","true","","income","Checking","3456","","false"
"2023-05-20","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-20","Trader Joe's","17.94","posted","Groceries","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-05-20","Metropolitan Tra","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-20","Mta*Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-21","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Primary CC","4832","","false"
"2023-05-21","Laundromat","8.5","posted","Laundry","Personal Care","false","","regular","Debit","3456","","false"
"2023-05-22","Chipotle","14.01","posted","Fast Food","Food & Drink","false","","regular","Debit","3456","","false"
"2023-05-22","Food Bazaar","5","posted","Groceries","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-05-23","Other Shop","7.78","posted","Shops","Shopping","false","","regular","Primary CC","4832","","false"
"2023-05-23","Other Fast Food","12.6","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-05-23","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-24","McDonald's","16.56","posted","Fast Food","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-05-24","Joe Coffee","8.46","posted","Cafés","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-05-25","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-25","Apple.com/bill","6.99","posted","Subscriptions","Entertainment","false","","regular","Primary CC","4832","","true"
"2023-05-25","Lyft","13.65","posted","Uber","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-25","Duane Reade","7.14","posted","Other","Other","false","","regular","Primary CC","4832","","false"
"2023-05-25","Chick-Fil-A","11.92","posted","Fast Food","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-05-25","Sweetgreen","11.21","posted","Fast Food","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-05-25","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-25","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-26","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-26","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-26","McDonald's","5.87","posted","Fast Food","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-05-26","Metropolitan Tra","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-26","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-27","Lyft","18.27","posted","Uber","Transportation","false","","regular","Primary CC","4832","","false"
"2023-05-27","Venmo Cashout","73.76","posted","Transfer","Transfer","true","","internal transfer","Checking","3456","","false"
"2023-05-27","Other Merchant","11.86","posted","Other","Other","false","","regular","Primary CC","4832","","false"
"2023-05-27","Regal Cinema","19.05","posted","Entertainment","Entertainment","false","","regular","Primary CC","4832","","false"
"2023-05-28","Con Edison","67.12","posted","Gas & Electric","Utilities","false","","regular","Primary CC","4832","","false"
"2023-05-28","Symbioun Payroll","-2551.5","posted","Payroll","Income","true","","income","Checking","3456","","true"
"2023-05-28","Duane Reade","29.17","posted","Other","Other","false","","regular","Primary CC","4832","","false"
"2023-05-28","Devocion","6.87","posted","Cafés","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-05-29","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-29","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-30","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-30","McDonald's","13.38","posted","Fast Food","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-05-30","Keep The Change Transfer","-0.76","posted","Savings","Transfer","true","","internal transfer","Checking","3456","","false"
"2023-05-30","Other Café","3.12","posted","Cafés","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-05-30","Other Entertainment","27.84","posted","Entertainment","Entertainment","false","","regular","Secondary CC","7291","","false"
"2023-05-30","Whole Foods","27.16","posted","Groceries","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-05-30","Navient Student Loan","280","posted","Student Loan","Debt","false","","regular","Checking","3456","","true"
"2023-05-31","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-31","Costco","39.3","posted","Groceries","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-05-31","Venmo Cashout","52.64","posted","Transfer","Transfer","true","","internal transfer","Checking","3456","","false"
"2023-05-31","Mta*Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-31","Keep The Change Transfer","-0.56","posted","Savings","Transfer","true","","internal transfer","Checking","3456","","false"
"2023-05-31","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-31","Square Payroll","-421.51","posted","Side Income","Income","true","","income","Checking","3456","","true"
"2023-05-31","Other Merchant","35.1","posted","Other","Other","false","","regular","Primary CC","4832","","false"
"2023-06-01","Panera Bread","8.81","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-01","Rent Payment","1325","posted","Rent","Housing","false","","regular","Checking","3456","","true"
"2023-06-01","Other Restaurant","33.81","posted","Restaurants","Food & Drink","false","","regular","Venmo","9012","","false"
"2023-06-01","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-03","Other Merchant","38.58","posted","Other","Other","false","","regular","Secondary CC","7291","","false"
"2023-06-03","Lark Cafe","-220.07","posted","Tips","Income","true","","income","Checking","3456","","false"
"2023-06-03","Whole Foods","16.71","posted","Groceries","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-03","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-03","Other Merchant","24.75","posted","Other","Other","false","","regular","Secondary CC","7291","","false"
"2023-06-03","Other Clothing","11.67","posted","Clothing","Shopping","false","","regular","Secondary CC","7291","","false"
"2023-06-03","Mta*Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-03","Land To Sea","14.71","posted","Cafés","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-03","Chipotle","7.51","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-04","Credit Card Payment","-1013.2","posted","Credit Card Payment","Transfer","true","","internal transfer","Checking","3456","","true"
"2023-06-04","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-04","Other Fast Food","8.76","posted","Fast Food","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-06-04","Chipotle","12.42","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-04","Joe Coffee","5.76","posted","Cafés","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-05","Other Fast Food","18.82","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-05","Other Restaurant","20.38","posted","Restaurants","Food & Drink","false","","regular","Debit","3456","","false"
"2023-06-05","Other Merchant","97.4","posted","Other","Other","false","","regular","Debit","3456","","false"
"2023-06-05","Metropolitan Tra","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-06","Sushi Katsuei","39.32","posted","Restaurants","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-06","Sweetgreen","13.12","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-06","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-06","Amazon","16.78","posted","Shops","Shopping","false","","regular","Primary CC","4832","","false"
"2023-06-06","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-07","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-07","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-07","Mta*Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-07","Mta*Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-07","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-07","Interest Payment","-3.56","posted","Interest","Income","true","","income","Savings","6789","","true"
"2023-06-07","Other Fast Food","10.9","posted","Fast Food","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-06-07","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-07","T-Mobile","15","posted","Phone","Utilities","false","","regular","Primary CC","4832","","false"
"2023-06-07","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-07","Café Regular","5.88","posted","Cafés","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-06-07","Bowlero","20.88","posted","Entertainment","Entertainment","false","","regular","Secondary CC","7291","","false"
"2023-06-07","Trader Joe's","19.41","posted","Groceries","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-08","Uniqlo","50.61","posted","Clothing","Shopping","false","","regular","Secondary CC","7291","","false"
"2023-06-08","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-08","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-08","Uber","53.56","posted","Uber","Transportation","false","","regular","Primary CC","4832","","false"
"2023-06-09","Metropolitan Tra","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-09","Food Bazaar","56.61","posted","Groceries","Food & Drink","false","","regular","Debit","3456","","false"
"2023-06-09","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-09","Other Clothing","82","posted","Clothing","Shopping","false","","regular","Primary CC","4832","","false"
"2023-06-10","Other Grocery","66.97","posted","Groceries","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-06-11","Sey Coffee","6.65","posted","Cafés","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-06-11","Other Bar","56.3","posted","Bars","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-11","Symbioun Payroll","-2551.98","posted","Payroll","Income","true","","income","Checking","3456","","true"
"2023-06-11","Other Entertainment","26.28","posted","Entertainment","Entertainment","false","","regular","Primary CC","4832","","false"
"2023-06-11","Mta*Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-11","Whole Foods","5.8","posted","Groceries","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-12","Target","35.81","posted","Groceries","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-12","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-12","Panera Bread","9.78","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-12","Skinny Dennis","19.22","posted","Bars","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-06-12","Uniqlo","41.37","posted","Clothing","Shopping","false","","regular","Debit","3456","","false"
"2023-06-12","Mint Mobile","15","posted","Phone","Utilities","false","","regular","Primary CC","4832","","false"
"2023-06-12","Target","30.72","posted","Groceries","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-06-13","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Primary CC","4832","","false"
"2023-06-13","McDonald's","10.39","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-13","Mta*Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-14","Metropolitan Tra","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-14","Square Payroll","-343.24","posted","Side Income","Income","true","","income","Checking","3456","","true"
"2023-06-14","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-14","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-14","Other Clothing","29.16","posted","Clothing","Shopping","false","","regular","Secondary CC","7291","","false"
"2023-06-14","Lark Cafe","-182.9","posted","Tips","Income","true","","income","Checking","3456","","false"
"2023-06-14","Other Restaurant","63.33","posted","Restaurants","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-06-15","Mta*Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-15","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-15","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-16","Whole Foods","13.18","posted","Groceries","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-16","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-17","Other Fast Food","12.91","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-17","Trader Joe's","31.29","posted","Groceries","Food & Drink","false","","regular","Debit","3456","","false"
"2023-06-17","Metropolitan Tra","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-17","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-17","Trader Joe's","31","posted","Groceries","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-18","Sweetleaf","10.08","posted","Cafés","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-19","Conductor Inc Deposit","-742.67","posted","Side Income","Income","true","","income","Checking","3456","","false"
"2023-06-19","Sweetleaf","5.45","posted","Cafés","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-06-19","Food Bazaar","37.94","posted","Groceries","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-19","Con Edison","34.93","posted","Gas & Electric","Utilities","false","","regular","Checking","3456","","false"
"2023-06-20","Spectrum","59.99","posted","Internet","Utilities","false","","regular","Primary CC","4832","","false"
"2023-06-20","Metropolitan Tra","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-20","Keep The Change Transfer","-0.92","posted","Savings","Transfer","true","","internal transfer","Checking","3456","","false"
"2023-06-20","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-20","Win Son","41.57","posted","Restaurants","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-06-20","Key Food","7.67","posted","Groceries","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-06-21","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-21","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-21","Land To Sea","2.66","posted","Cafés","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-06-21","Keep The Change Transfer","-0.29","posted","Savings","Transfer","true","","internal transfer","Checking","3456","","false"
"2023-06-22","Subway","23.57","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-22","Blue Bottle","7.17","posted","Cafés","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-22","Walgreens","29.02","posted","Other","Other","false","","regular","Primary CC","4832","","false"
"2023-06-22","Other Restaurant","71.23","posted","Restaurants","Food & Drink","false","","regular","Debit","3456","","false"
"2023-06-22","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-22","AMC Theatres","10.71","posted","Entertainment","Entertainment","false","","regular","Secondary CC","7291","","false"
"2023-06-22","Duane Reade","44.52","posted","Pharmacy","Health","false","","regular","Secondary CC","7291","","false"
"2023-06-23","Win Son","33.22","posted","Restaurants","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-06-24","Venmo Cashout","30.66","posted","Transfer","Transfer","true","","internal transfer","Checking","3456","","false"
"2023-06-24","Apple.com/bill","6.99","posted","Subscriptions","Entertainment","false","","regular","Primary CC","4832","","true"
"2023-06-24","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-24","Trader Joe's","36.42","posted","Groceries","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-25","Walgreens","28.61","posted","Other","Other","false","","regular","Debit","3456","","false"
"2023-06-25","Symbioun Payroll","-2531.26","posted","Payroll","Income","true","","income","Checking","3456","","true"
"2023-06-25","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-25","Costco","12.8","posted","Groceries","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-25","Other Restaurant","83.59","posted","Restaurants","Food & Drink","false","","regular","Debit","3456","","false"
"2023-06-25","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Primary CC","4832","","false"
"2023-06-25","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-26","Other Entertainment","23.24","posted","Entertainment","Entertainment","false","","regular","Primary CC","4832","","false"
"2023-06-27","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-27","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-27","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-27","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-27","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-27","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-28","Amazon","143.73","posted","Other","Other","false","","regular","Secondary CC","7291","","false"
"2023-06-28","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-28","Other Fast Food","11.46","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-28","Other Fast Food","10.31","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-28","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-28","Square Payroll","-395.75","posted","Side Income","Income","true","","income","Checking","3456","","true"
"2023-06-29","Navient Student Loan","280","posted","Student Loan","Debt","false","","regular","Checking","3456","","true"
"2023-06-29","Other Restaurant","31.69","posted","Restaurants","Food & Drink","false","","regular","Venmo","9012","","false"
"2023-06-30","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-30","Con Edison","63.66","posted","Gas & Electric","Utilities","false","","regular","Checking","3456","","false"
"2023-06-30","Venmo Cashout","129.15","posted","Transfer","Transfer","true","","internal transfer","Checking","3456","","false"
"2023-06-30","Other Shop","24.91","posted","Shops","Shopping","false","","regular","Secondary CC","7291","","false"
"2023-06-30","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-06-30","Chick-Fil-A","7.4","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-06-30","Mta*Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-01","Rent Payment","1325","posted","Rent","Housing","false","","regular","Checking","3456","","true"
"2023-07-01","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-02","Mta*Nyct Paygo","3","posted","Train","Transportation","false","","regular","Primary CC","4832","","false"
"2023-07-03","Keep The Change Transfer","-0.95","posted","Savings","Transfer","true","","internal transfer","Checking","3456","","false"
"2023-07-03","Devocion","5.7","posted","Cafés","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-07-03","Thai Villa","48.08","posted","Restaurants","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-07-03","Other Shop","38.02","posted","Shops","Shopping","false","","regular","Secondary CC","7291","","false"
"2023-07-03","Trader Joe's","27","posted","Groceries","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-07-03","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-03","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-03","Devocion","8.4","posted","Cafés","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-07-04","Subway","16.29","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-07-04","Mta*Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-04","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-04","Credit Card Payment","-1471.67","posted","Credit Card Payment","Transfer","true","","internal transfer","Checking","3456","","true"
"2023-07-04","Amazon","39.54","posted","Other","Other","false","","regular","Debit","3456","","false"
"2023-07-04","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-05","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-05","Café Regular","9.84","posted","Cafés","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-07-05","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-06","Other Clothing","19.32","posted","Clothing","Shopping","false","","regular","Secondary CC","7291","","false"
"2023-07-06","Lark Cafe","-172.27","posted","Tips","Income","true","","income","Checking","3456","","false"
"2023-07-06","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Primary CC","4832","","false"
"2023-07-06","Other Fast Food","23.23","posted","Fast Food","Food & Drink","false","","regular","Debit","3456","","false"
"2023-07-07","Mta*Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-07","Interest Payment","-1.97","posted","Interest","Income","true","","income","Savings","6789","","true"
"2023-07-07","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-07","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-07","Other Café","10.21","posted","Cafés","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-07-07","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-08","Metropolitan Tra","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-09","Amazon","26.69","posted","Other","Other","false","","regular","Primary CC","4832","","false"
"2023-07-09","Symbioun Payroll","-2547.6","posted","Payroll","Income","true","","income","Checking","3456","","true"
"2023-07-09","Other Merchant","35.75","posted","Other","Other","false","","regular","Secondary CC","7291","","false"
"2023-07-10","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-10","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Primary CC","4832","","false"
"2023-07-11","Other Merchant","7.6","posted","Other","Other","false","","regular","Secondary CC","7291","","false"
"2023-07-11","Panera Bread","21.57","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-07-11","Land To Sea","4.21","posted","Cafés","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-07-11","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-11","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-11","Uber","9.75","posted","Uber","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-07-11","Food Bazaar","35.71","posted","Groceries","Food & Drink","false","","regular","Primary CC","4832","","false"
